,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
63,Oktyabr'skiy,100,RU,1583852968,99,54.48,53.47,275.01,2.42
64,Halifax,90,CA,1583852770,94,44.65,-63.57,274.82,5.7
65,Aldan,100,RU,1583852969,83,58.6,125.39,257.11,5.1
66,Castro,0,BR,1583852969,34,-24.79,-50.01,301.61,0.84
67,Taoudenni,0,ML,1583852969,4,22.68,-3.98,304.41,8.95
68,Saint-Philippe,75,RE,1583852969,74,-21.36,55.77,301.15,12.3
69,Aitape,100,PG,1583852969,78,-3.14,142.35,300.81,3.24
70,Westport,1,US,1583852827,58,41.14,-73.36,289.26,2.1
71,Yellowknife,90,CA,1583852970,84,62.46,-114.35,259.26,4.6
72,Churapcha,98,RU,1583852970,96,62.0,132.43,256.71,2.91
73,Katsuura,20,JP,1583852686,88,35.13,140.3,292.15,8.2
74,Boyolangu,100,ID,1583852970,92,-8.12,111.89,297.31,2.69
75,Te Anau,67,NZ,1583852971,91,-45.42,167.72,280.11,1.96
76,Opmeer,90,NL,1583852971,93,52.71,4.94,285.37,11.3
77,Grande Prairie,90,CA,1583852862,50,55.17,-118.8,272.15,5.1
78,Kholodnyy,100,RU,1583852971,100,62.72,147.95,246.21,0.98
79,Vila,20,PT,1583852971,77,42.03,-8.16,292.04,3.1
80,Chenzhou,0,CN,1583852971,82,25.8,113.03,285.11,0.49
81,Provideniya,100,RU,1583852972,97,64.38,-173.3,253.51,0.89
82,Zhigansk,87,RU,1583852673,92,66.77,123.37,240.11,6.15
83,Tanabe,27,JP,1583852972,81,33.73,135.37,287.04,1.34
84,Shache,94,CN,1583852972,31,38.42,77.24,281.31,4.67
85,Bad Kissingen,100,DE,1583852826,93,50.2,10.08,280.93,4.47
86,San Patricio,20,MX,1583852972,78,19.22,-104.7,298.15,2.6
87,São João do Paraíso,84,BR,1583852973,65,-15.31,-42.01,299.61,2.08
